NAME,TYPE,MAG,SIZE,RA,DEC
NGC4244,Galaxy,10.4,15.9',12 17.5,+37 48
NGC4245,Galaxy,11.4,3.3',12 17.6,+29 36
NGC4251,Galaxy,10.7,3.6',12 18.1,+28 10
NGC4261,Galaxy,10.4,3.8',12 19.4,+05 49
NGC4273,Galaxy,11.9,2.3',12 19.9,+05 21
NGC4274,Galaxy,10.4,6.8',12 19.8,+29 37
NGC4278,Galaxy,10.2,4',12 20.1,+29 17
NGC4281,Galaxy,11.3,3',12 20.4,+05 23
NGC4293,Galaxy,10.4,5.5',12 21.2,+18 23
NGC4314,Galaxy,10.6,3.9',12 22.5,+29 54
NGC4346,Galaxy,11.1,3.2',12 23.5,+47 00
NGC4350,Galaxy,11,2.9',12 24.0,+16 42
NGC4361,nebula,10.9,80'',12 24.5,-18 47
NGC4365,Galaxy,9.6,6.5',12 24.5,+07 19
NGC4371,Galaxy,10.8,4',12 24.9,+11 42
NGC4388,Galaxy,11,5.6',12 25.8,+12 40
NGC4394,Galaxy,10.9,3.4',12 25.9,+18 13
NGC4395,Galaxy,10.2,12.3',12 25.8,+33 33
NGC4414,Galaxy,10.1,3.6',12 26.5,+31 13
NGC4419,Galaxy,11.2,3.3',12 26.9,+15 03
NGC4429,Galaxy,10,5.8',12 27.4,+11 06
NGC4435,Galaxy,10.8,3',12 27.7,+13 05
NGC4438,Galaxy,10.2,8.5',12 27.8,+13 00
NGC4442,Galaxy,10.4,4.5',12 28.1,+09 48
NGC4448,Galaxy,11.1,3.6',12 28.3,+28 37
NGC4449,Galaxy,9.6,6.2',12 28.2,+44 06
NGC4450,Galaxy,10.1,5.4',12 28.5,+17 05
NGC4459,Galaxy,10.4,4',12 29.0,+13 59
NGC4473,Galaxy,10.2,4.2',12 29.8,+13 26
NGC4477,Galaxy,10.4,3.7',12 30.0,+13 38
NGC4478,Galaxy,11.4,1.8',12 30.3,+12 20
NGC4485,Galaxy,11.9,2.4',12 30.5,+41 42
NGC4490,Galaxy,9.8,6.4',12 30.6,+41 39
NGC4494,Galaxy,9.8,4.5',12 31.4,+25 46
NGC4517,Galaxy,10.4,10.2',12 32.8,+00 07
NGC4526,Galaxy,9.7,7',12 34.0,+07 42
NGC4527,Galaxy,10.5,5.9',12 34.1,+02 39
NGC4535,Galaxy,10,6.9',12 34.3,+08 12
NGC4536,Galaxy,10.6,7.1',12 34.4,+02 11
NGC4546,Galaxy,10.3,3.3',12 35.5,-03 48
NGC4550,Galaxy,11.7,3.3',12 35.5,+12 13
NGC4559,Galaxy,10,11',12 36.0,+27 58
NGC4565,Galaxy,9.6,14.9',12 36.3,+25 59
NGC4567,Galaxy,11.3,3.1',12 36.5,+11 15
NGC4568,Galaxy,10.8,4.6',12 36.6,+11 14
